location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Albania,3/27/2020,28,1,2877800,13.188,11803.431,2.89
Albania,3/28/2020,12,3,2877800,13.188,11803.431,2.89
Albania,3/29/2020,11,1,2877800,13.188,11803.431,2.89
Albania,3/30/2020,15,0,2877800,13.188,11803.431,2.89
Albania,3/31/2020,11,2,2877800,13.188,11803.431,2.89
Albania,4/1/2020,20,3,2877800,13.188,11803.431,2.89
Albania,4/2/2020,16,0,2877800,13.188,11803.431,2.89
Albania,4/3/2020,18,1,2877800,13.188,11803.431,2.89
Albania,4/4/2020,27,1,2877800,13.188,11803.431,2.89
Albania,4/5/2020,29,2,2877800,13.188,11803.431,2.89
Albania,4/6/2020,28,2,2877800,13.188,11803.431,2.89
Albania,4/7/2020,16,1,2877800,13.188,11803.431,2.89
Albania,4/8/2020,6,0,2877800,13.188,11803.431,2.89
Albania,4/9/2020,17,0,2877800,13.188,11803.431,2.89
Albania,4/10/2020,9,1,2877800,13.188,11803.431,2.89
Albania,4/11/2020,7,0,2877800,13.188,11803.431,2.89
Albania,4/12/2020,17,0,2877800,13.188,11803.431,2.89
Albania,4/13/2020,13,0,2877800,13.188,11803.431,2.89
Albania,4/14/2020,21,0,2877800,13.188,11803.431,2.89
Albania,4/15/2020,8,1,2877800,13.188,11803.431,2.89
Albania,4/16/2020,19,1,2877800,13.188,11803.431,2.89
Albania,4/17/2020,24,1,2877800,13.188,11803.431,2.89
Albania,4/18/2020,21,0,2877800,13.188,11803.431,2.89
Albania,4/19/2020,9,0,2877800,13.188,11803.431,2.89
Albania,4/20/2020,14,0,2877800,13.188,11803.431,2.89
Albania,4/21/2020,22,0,2877800,13.188,11803.431,2.89
Albania,4/22/2020,25,0,2877800,13.188,11803.431,2.89
Albania,4/23/2020,25,1,2877800,13.188,11803.431,2.89
Albania,4/24/2020,29,0,2877800,13.188,11803.431,2.89
Albania,4/25/2020,15,0,2877800,13.188,11803.431,2.89
Albania,4/26/2020,34,0,2877800,13.188,11803.431,2.89
Albania,4/27/2020,14,1,2877800,13.188,11803.431,2.89
Albania,4/28/2020,10,0,2877800,13.188,11803.431,2.89
Albania,4/29/2020,14,2,2877800,13.188,11803.431,2.89
Albania,4/30/2020,16,1,2877800,13.188,11803.431,2.89
